0#0,Pos.,Player,Date of birth (age),Caps,Goals,Club,club_link,squad
1,1GK,Hugo Lloris (captain),(1986-12-26) 26 December 1986 (ageÂ 29),75,0,Tottenham Hotspur,https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.,France
2,2DF,Christophe Jallet,(1983-10-31) 31 October 1983 (ageÂ 32),11,1,Lyon,https://en.wikipedia.org/wiki/Olympique_Lyonnais,France
3,2DF,Patrice Evra,(1981-05-15) 15 May 1981 (ageÂ 35),73,0,Juventus,https://en.wikipedia.org/wiki/Juventus_F.C.,France
4,2DF,Adil Rami,(1985-12-27) 27 December 1985 (ageÂ 30),28,1,Sevilla,https://en.wikipedia.org/wiki/Sevilla_FC,France
5,3MF,N'Golo Kanté,(1991-03-29) 29 March 1991 (ageÂ 25),4,1,Leicester City,https://en.wikipedia.org/wiki/Leicester_City_F.C.,France
6,3MF,Yohan Cabaye,(1986-01-14) 14 January 1986 (ageÂ 30),46,4,Crystal Palace,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.,France
7,4FW,Antoine Griezmann,(1991-03-21) 21 March 1991 (ageÂ 25),27,7,Atlético Madrid,https://en.wikipedia.org/wiki/Atl%C3%A9tico_Madrid,France
8,3MF,Dimitri Payet,(1987-03-29) 29 March 1987 (ageÂ 29),18,3,West Ham United,https://en.wikipedia.org/wiki/West_Ham_United_F.C.,France
9,4FW,Olivier Giroud,(1986-09-30) 30 September 1986 (ageÂ 29),49,17,Arsenal,https://en.wikipedia.org/wiki/Arsenal_F.C.,France
10,4FW,André-Pierre Gignac,(1985-12-05) 5 December 1985 (ageÂ 30),27,7,UANL,https://en.wikipedia.org/wiki/Tigres_UANL,France
11,4FW,Anthony Martial,(1995-12-05) 5 December 1995 (ageÂ 20),9,0,Manchester United,https://en.wikipedia.org/wiki/Manchester_United_F.C.,France
12,3MF,Morgan Schneiderlin,(1989-11-08) 8 November 1989 (ageÂ 26),15,0,Manchester United,https://en.wikipedia.org/wiki/Manchester_United_F.C.,France
13,2DF,Eliaquim Mangala,(1991-02-13) 13 February 1991 (ageÂ 25),7,0,Manchester City,https://en.wikipedia.org/wiki/Manchester_City_F.C.,France
14,3MF,Blaise Matuidi,(1987-04-09) 9 April 1987 (ageÂ 29),44,8,Paris Saint-Germain,https://en.wikipedia.org/wiki/Paris_Saint-Germain_F.C.,France
15,3MF,Paul Pogba,(1993-03-15) 15 March 1993 (ageÂ 23),31,5,Juventus,https://en.wikipedia.org/wiki/Juventus_F.C.,France
16,1GK,Steve Mandanda,(1985-03-28) 28 March 1985 (ageÂ 31),22,0,Marseille,https://en.wikipedia.org/wiki/Olympique_de_Marseille,France
17,2DF,Lucas Digne,(1993-07-20) 20 July 1993 (ageÂ 22),13,0,Roma,https://en.wikipedia.org/wiki/A.S._Roma,France
18,3MF,Moussa Sissoko,(1989-08-16) 16 August 1989 (ageÂ 26),38,1,Newcastle United,https://en.wikipedia.org/wiki/Newcastle_United_F.C.,France
19,2DF,Bacary Sagna,(1983-02-14) 14 February 1983 (ageÂ 33),57,0,Manchester City,https://en.wikipedia.org/wiki/Manchester_City_F.C.,France
20,4FW,Kingsley Coman,(1996-06-13) 13 June 1996 (ageÂ 19),5,1,Bayern Munich,https://en.wikipedia.org/wiki/FC_Bayern_Munich,France
21,2DF,Laurent Koscielny,(1985-09-10) 10 September 1985 (ageÂ 30),29,1,Arsenal,https://en.wikipedia.org/wiki/Arsenal_F.C.,France
22,2DF,Samuel Umtiti,(1993-11-14) 14 November 1993 (ageÂ 22),0,0,Lyon,https://en.wikipedia.org/wiki/Olympique_Lyonnais,France
23,1GK,Benoît Costil,(1987-07-03) 3 July 1987 (ageÂ 28),0,0,Rennes,https://en.wikipedia.org/wiki/Stade_Rennais_F.C.,France
1,1GK,Costel Pantilimon,(1987-02-01)1 February 1987 (aged 29),22,0,Watford,https://en.wikipedia.org/wiki/Watford_F.C.,Romania
2,2DF,Alexandru Mățel,(1989-10-17)17 October 1989 (aged 26),16,0,Dinamo Zagreb,https://en.wikipedia.org/wiki/GNK_Dinamo_Zagreb,Romania
3,2DF,Răzvan Raț,(1981-05-26)26 May 1981 (aged 35),111,2,Rayo Vallecano,https://en.wikipedia.org/wiki/Rayo_Vallecano,Romania
4,2DF,Cosmin Moți,(1984-12-03)3 December 1984 (aged 31),8,0,Ludogorets Razgrad,https://en.wikipedia.org/wiki/PFC_Ludogorets_Razgrad,Romania
5,3MF,Ovidiu Hoban,(1982-12-27)27 December 1982 (aged 33),20,1,Hapoel Be'er Sheva,https://en.wikipedia.org/wiki/Hapoel_Be%27er_Sheva_F.C.,Romania
6,2DF,Vlad Chiricheș (captain),(1989-11-14)14 November 1989 (aged 26),40,0,Napoli,https://en.wikipedia.org/wiki/S.S.C._Napoli,Romania
7,3MF,Alexandru Chipciu,(1989-05-18)18 May 1989 (aged 27),21,3,Steaua București,https://en.wikipedia.org/wiki/FC_Steaua_Bucure%C8%99ti,Romania
8,3MF,Mihai Pintilii,(1984-11-09)9 November 1984 (aged 31),31,1,Steaua București,https://en.wikipedia.org/wiki/FC_Steaua_Bucure%C8%99ti,Romania
9,4FW,Denis Alibec,(1991-01-05)5 January 1991 (aged 25),4,1,Astra Giurgiu,https://en.wikipedia.org/wiki/FC_Astra_Giurgiu,Romania
10,3MF,Nicolae Stanciu,(1993-05-07)7 May 1993 (aged 23),5,4,Steaua București,https://en.wikipedia.org/wiki/FC_Steaua_Bucure%C8%99ti,Romania
11,3MF,Gabriel Torje,(1989-11-22)22 November 1989 (aged 26),50,11,Osmanlıspor,https://en.wikipedia.org/wiki/Osmanl%C4%B1spor,Romania
12,1GK,Ciprian Tătărușanu,(1986-02-09)9 February 1986 (aged 30),36,0,Fiorentina,https://en.wikipedia.org/wiki/ACF_Fiorentina,Romania
13,4FW,Claudiu Keșerü,(1986-12-02)2 December 1986 (aged 29),13,5,Ludogorets Razgrad,https://en.wikipedia.org/wiki/PFC_Ludogorets_Razgrad,Romania
14,4FW,Florin Andone,(1993-04-11)11 April 1993 (aged 23),6,1,Córdoba,https://en.wikipedia.org/wiki/C%C3%B3rdoba_CF,Romania
15,2DF,Valerică Găman,(1989-02-25)25 February 1989 (aged 27),13,1,Astra Giurgiu,https://en.wikipedia.org/wiki/FC_Astra_Giurgiu,Romania
16,2DF,Steliano Filip,(1994-05-15)15 May 1994 (aged 22),4,0,Dinamo București,https://en.wikipedia.org/wiki/FC_Dinamo_Bucure%C8%99ti,Romania
17,3MF,Lucian Sânmărtean,(1980-03-13)13 March 1980 (aged 36),20,0,Al-Ittihad,https://en.wikipedia.org/wiki/Ittihad_FC,Romania
18,3MF,Andrei Prepeliță,(1985-12-08)8 December 1985 (aged 30),10,0,Ludogorets Razgrad,https://en.wikipedia.org/wiki/PFC_Ludogorets_Razgrad,Romania
19,4FW,Bogdan Stancu,(1987-06-28)28 June 1987 (aged 28),40,9,Gençlerbirliği,https://en.wikipedia.org/wiki/Gen%C3%A7lerbirli%C4%9Fi_S.K.,Romania
20,3MF,Adrian Popa,(1988-07-24)24 July 1988 (aged 27),14,1,Steaua București,https://en.wikipedia.org/wiki/FC_Steaua_Bucure%C8%99ti,Romania
21,2DF,Dragoș Grigore,(1986-09-07)7 September 1986 (aged 29),20,0,Al-Sailiya,https://en.wikipedia.org/wiki/Al-Sailiya_SC,Romania
22,2DF,Cristian Săpunaru,(1984-04-05)5 April 1984 (aged 32),13,0,Pandurii Târgu Jiu,https://en.wikipedia.org/wiki/CS_Pandurii_T%C3%A2rgu_Jiu,Romania
23,1GK,Silviu Lung Jr.,(1989-06-04)4 June 1989 (aged 27),3,0,Astra Giurgiu,https://en.wikipedia.org/wiki/FC_Astra_Giurgiu,Romania
1,1GK,Etrit Berisha,(1989-03-10)10 March 1989 (aged 27),35,0,Lazio,https://en.wikipedia.org/wiki/S.S._Lazio,Albania
2,2DF,Andi Lila,(1986-02-12)12 February 1986 (aged 30),59,0,PAS Giannina,https://en.wikipedia.org/wiki/PAS_Giannina_F.C.,Albania
3,3MF,Ermir Lenjani,(1989-08-05)5 August 1989 (aged 26),19,3,Nantes,https://en.wikipedia.org/wiki/FC_Nantes,Albania
4,2DF,Elseid Hysaj,(1994-02-20)20 February 1994 (aged 22),20,0,Napoli,https://en.wikipedia.org/wiki/S.S.C._Napoli,Albania
5,2DF,Lorik Cana (captain),(1983-06-27)27 June 1983 (aged 32),92,1,Nantes,https://en.wikipedia.org/wiki/FC_Nantes,Albania
6,2DF,Freddie Veseli,(1992-11-20)20 November 1992 (aged 23),3,0,Lugano,https://en.wikipedia.org/wiki/FC_Lugano,Albania
7,2DF,Ansi Agolli,(1982-11-11)11 November 1982 (aged 33),61,2,Qarabağ,https://en.wikipedia.org/wiki/Qaraba%C4%9F_FK,Albania
8,3MF,Migjen Basha,(1987-01-05)5 January 1987 (aged 29),19,3,Como,https://en.wikipedia.org/wiki/Calcio_Como,Albania
9,3MF,Ledian Memushaj,(1986-12-07)7 December 1986 (aged 29),14,0,Pescara,https://en.wikipedia.org/wiki/Delfino_Pescara_1936,Albania
10,4FW,Armando Sadiku,(1991-05-27)27 May 1991 (aged 25),20,5,Vaduz,https://en.wikipedia.org/wiki/FC_Vaduz,Albania
11,4FW,Shkëlzen Gashi,(1988-07-15)15 July 1988 (aged 27),14,1,Colorado Rapids,https://en.wikipedia.org/wiki/Colorado_Rapids,Albania
12,1GK,Orges Shehi,(1977-09-25)25 September 1977 (aged 38),7,0,Skënderbeu Korçë,https://en.wikipedia.org/wiki/KF_Sk%C3%ABnderbeu_Kor%C3%A7%C3%AB,Albania
13,3MF,Burim Kukeli,(1984-01-16)16 January 1984 (aged 32),15,0,Zürich,https://en.wikipedia.org/wiki/FC_Z%C3%BCrich,Albania
14,3MF,Taulant Xhaka,(1991-03-28)28 March 1991 (aged 25),12,0,Basel,https://en.wikipedia.org/wiki/FC_Basel,Albania
15,2DF,Mërgim Mavraj,(1986-06-09)9 June 1986 (aged 30),26,3,1. FC Köln,https://en.wikipedia.org/wiki/1._FC_K%C3%B6ln,Albania
16,4FW,Sokol Cikalleshi,(1990-07-27)27 July 1990 (aged 25),20,2,İstanbul Başakşehir,https://en.wikipedia.org/wiki/%C4%B0stanbul_Ba%C5%9Fak%C5%9Fehir_F.K.,Albania
17,2DF,Naser Aliji,(1993-12-27)27 December 1993 (aged 22),5,0,Basel,https://en.wikipedia.org/wiki/FC_Basel,Albania
18,2DF,Arlind Ajeti,(1993-09-25)25 September 1993 (aged 22),10,1,Frosinone,https://en.wikipedia.org/wiki/Frosinone_Calcio,Albania
19,4FW,Bekim Balaj,(1991-01-11)11 January 1991 (aged 25),16,2,Terek Grozny,https://en.wikipedia.org/wiki/FC_Terek_Grozny,Albania
20,3MF,Ergys Kaçe,(1993-07-08)8 July 1993 (aged 22),16,2,PAOK,https://en.wikipedia.org/wiki/PAOK_FC,Albania
21,3MF,Odise Roshi,(1991-05-21)21 May 1991 (aged 25),33,1,Rijeka,https://en.wikipedia.org/wiki/HNK_Rijeka,Albania
22,3MF,Amir Abrashi,(1990-03-27)27 March 1990 (aged 26),18,0,SC Freiburg,https://en.wikipedia.org/wiki/SC_Freiburg,Albania
23,1GK,Alban Hoxha,(1987-11-23)23 November 1987 (aged 28),1,0,Partizani Tirana,https://en.wikipedia.org/wiki/FK_Partizani_Tirana,Albania
1,1GK,Yann Sommer,(1988-12-07)7 December 1988 (aged 27),17,0,Borussia Mönchengladbach,https://en.wikipedia.org/wiki/Borussia_M%C3%B6nchengladbach,Switzerland
2,2DF,Stephan Lichtsteiner (captain),(1984-01-16)16 January 1984 (aged 32),80,5,Juventus,https://en.wikipedia.org/wiki/Juventus_F.C.,Switzerland
3,2DF,François Moubandje,(1990-06-21)21 June 1990 (aged 25),10,0,Toulouse,https://en.wikipedia.org/wiki/Toulouse_F.C.,Switzerland
4,2DF,Nico Elvedi,(1996-09-30)30 September 1996 (aged 19),1,0,Borussia Mönchengladbach,https://en.wikipedia.org/wiki/Borussia_M%C3%B6nchengladbach,Switzerland
5,2DF,Steve von Bergen,(1983-06-10)10 June 1983 (aged 33),49,0,Young Boys,https://en.wikipedia.org/wiki/BSC_Young_Boys,Switzerland
6,2DF,Michael Lang,(1991-02-08)08 February 1991 (aged 25),15,2,Basel,https://en.wikipedia.org/wiki/FC_Basel,Switzerland
7,4FW,Breel Embolo,(1997-02-14)14 February 1997 (aged 19),9,1,Basel,https://en.wikipedia.org/wiki/FC_Basel,Switzerland
